ID,ProductName,SuitableAges,SuitableGender,Category,Price,SellerName,ProductDescription
25,Air Fryer XL,45-54,Female,Home,150.00,CrispyCook,"Healthy alternative for frying with less oil."
26,Electric Massager,45-54,Male,Health,130.00,RelaxWell,"Relieves muscle tension and promotes relaxation."
27,Anti-Aging Face Cream,55-64,Female,Beauty,45.00,GlowSkin,"Moisturizing cream that reduces wrinkles and fine lines."
28,Organic Green Tea,55-64,Female,Food,18.00,HerbalWay,"Refreshing tea packed with antioxidants."
29,Vitamin Supplements Pack,55-64,Male,Health,60.00,HealthPlus,"Essential daily vitamins for energy and wellness."
30,Chess Board Set,55-64,Male,Home,45.00,ClassicPlay,"Premium wooden chess set for strategy lovers."
31,Romantic Novel Collection,65+,Female,Books,30.00,BookNest,"Heartwarming love stories by bestselling authors."
32,Cookbook: World Recipes,65+,Female,Books,28.00,CulinaryReads,"Delicious recipes from around the globe."
33,Romantic Poetry Book,65+,Male,Books,20.00,LitCorner,"Classic romantic poems by world-renowned poets."
34,Dark Chocolate Box,65+,Female,Food,32.00,SweetBite,"Premium assorted dark chocolates."
35,Men's Golf Club Set,65+,Male,Sports,450.00,ProGolf,"Complete set for beginners and seasoned golfers."
36,Knitting Yarn Kit,65+,Female,Home,38.00,CraftyHands,"Soft yarn with needles for creative knitting."
37,Digital Blood Pressure Monitor,65+,Male,Health,85.00,HealthFirst,"Easy-to-use monitor with large display."
38,Women's Walking Shoes,65+,Female,Fashion,70.00,ComfortStep,"Lightweight shoes designed for daily walks."
39,Memory Foam Pillow,65+,Female,Home,55.00,SleepWell,"Ergonomic pillow for better neck support."
40,Portable Radio,65+,Male,Electronics,45.00,SoundWave,"Compact radio with AM/FM and long battery life."
41,Gardening Tool Set,55-64,Female,Home,60.00,GreenThumb,"Durable tools for all home gardening needs."
42,Digital Camera X90,55-64,Male,Electronics,520.00,PhotoTech,"High-resolution camera with zoom lens."
43,Sports Cycling Bike,45-54,Female,Sports,780.00,FitSpin,"Indoor exercise bike with adjustable resistance."
44,Men's Leather Wallet,45-54,Male,Fashion,65.00,UrbanCraft,"Classic design wallet with multiple compartments."
45,Women's Skincare Set,35-44,Female,Beauty,95.00,SkinBloom,"Complete daily routine for glowing skin."
46,Men's Running Jacket,35-44,Male,Sports,130.00,ActiveWear,"Lightweight waterproof jacket for outdoor running."
47,Smart Fitness Scale,35-44,Female,Health,80.00,FitTrack,"Measures weight, BMI, and body composition."
48,Wireless Keyboard & Mouse,35-44,Male,Electronics,75.00,TechEase,"Compact and ergonomic set for office use."
49,Women's Sunglasses,25-34,Female,Fashion,85.00,SunChic,"Stylish UV-protected sunglasses for outings."
50,Men's Casual Sneakers,25-34,Male,Fashion,110.00,StreetStyle,"Comfortable sneakers for everyday wear."
51,Essential Oil Diffuser,25-34,Female,Home,55.00,AromaLife,"Creates a relaxing atmosphere with natural oils."
52,Men's Sports Watch,25-34,Male,Fashion,180.00,ActiveTime,"Water-resistant watch with fitness tracking."
53,Makeup Brush Set,18-24,Female,Beauty,35.00,GlowUp,"Professional brushes for flawless makeup application."
54,Portable Power Bank,18-24,Male,Electronics,45.00,ChargeOn,"Fast-charging power bank for smartphones."
55,Skateboard Cruiser,18-24,Male,Sports,120.00,BoardRider,"Durable skateboard for fun rides."
56,Women's Trendy Backpack,18-24,Female,Fashion,75.00,ChicCarry,"Stylish backpack for school or casual outings."
57,Bluetooth Speaker Mini,18-24,Female,Electronics,49.00,BeatBox,"Portable speaker with deep bass and wireless connect."
58,Instant Camera,18-24,Female,Electronics,90.00,PhotoFun,"Capture and print instant photos with ease."
59,Men's Sports Cap,18-24,Male,Fashion,25.00,CapZone,"Breathable cap suitable for outdoor activities."
60,Women's Jewelry Set,25-34,Female,Fashion,150.00,ShineBright,"Elegant necklace and earrings combo."
61,Robot Vacuum Cleaner,35-44,Female,Home,350.00,CleanMate,"Smart vacuum with auto-cleaning functions."
62,Portable Projector,35-44,Male,Electronics,420.00,ViewMax,"Compact projector for movies and presentations."
63,Men's Leather Belt,45-54,Male,Fashion,55.00,StyleCraft,"Durable belt with modern design."
64,Electric Pressure Cooker,45-54,Female,Home,160.00,QuickCook,"Multi-function cooker for fast and easy meals."
65,Women's Winter Coat,55-64,Female,Fashion,210.00,CozyWear,"Warm and stylish coat for cold seasons."
66,Men's Hiking Boots,55-64,Male,Sports,180.00,TrailStep,"Sturdy boots for trekking and outdoor trips."
67,Herbal Sleep Tea,65+,Female,Food,26.00,NaturalBrew,"Calming blend for restful sleep."
